year,school,course_name,course_code,course_description,,cca_name,cca_description
2021,School of Business & Accountancy,Diploma in Accountancy,N51,Diploma in Accountancy (N51) aims to equip students with essential business knowledge and specialised training in accountancy and financial management to pursue a career in the Accountancy Sector.,,B-Boys,"The B-Boy Dance Club performs under the alias of MightyNoMads. The club aims to spread the culture of hip-hop through B-Boying & B-Girling (Break Dancing), as well as to educate and nurture its members in the following four elements of B-Boying: ‘Top rock’, ‘Down rock’, freezes, and power moves. Weekly trainings are centred around fun and experiential learning, while improving individuals’ technical skills. Contact us at: cca_bboys@connect.np.edu.sg Follow us on Instagram: mightynomads"
2021,School of Business & Accountancy,Diploma in Banking & Finance,N53,"Diploma in Banking & Finance (N53) aims to equip students with core business knowledge and specialised training in banking and finance. Combined with a 6-month internship, students are well prepared for the challenges of the financial sectors.",,Chinese Calligraphy,"The Chinese Calligraphy Club aims to spread awareness of Chinese calligraphy among NP students. Through calligraphy and Chinese painting classes, students get to interact with various nationalities. They also learn to write elegant Chinese script and paint beautiful landscapes. Outstanding pieces of work may even be showcased and submitted for competitions. Contact us at: cca_calligraphy@connect.np.edu.sg"
2021,School of Business & Accountancy,Diploma in Business Studies,N45,"Diploma in Business Studies (N45) aims to nurture strong business and management skills with a global and entrepreneurial focus.ÿ It prepares students to become effective communicators, critical thinkers and future-ready professionals.",,Chinese Dance,"The Chinese Dance Club focuses on contemporary Chinese Dance and prides itself on being the only Chinese Dance Club among all the polytechnics in Singapore. The club aims to create awareness of this rich cultural art form by giving back to the community through public performances, both on and off campus. Contact us at: cca_cdance@connect.np.edu.sg Follow us on Instagram: npcdance"
2021,School of Business & Accountancy,Common Business Programme,N97,Common Business Programme (N97) lays a strong foundation in business fundamentals while letting you explore your interest in various business disciplines before you rank your choice of preferred business diploma courses at the end of Year 1.,,Chinese Drama,"The Chinese Drama Club is also known as the Stage Art Group (SAG), and involves Mandarin and Chinese Stage Art. They aim to expose and nurture acting potential within every member. Members also get involved in major aspects of stage production, from the basics of stage lighting and sound to making props and costumes, and even script writing and make up. The club has performed locally, as well as in Malaysian cities like Johor Bahru, Kuala Lumpur and Penang. Contact us at: cca_cdrama@connect.np.edu.sg Follow us on Instagram: npsag"
2021,School of Business & Accountancy,Diploma in International Trade & Business,N85,Diploma in International Trade & Business (N85) develops students with specialized knowledge and skills to manage the end-to-end trade process from procurement and trading through to marketing and operations.,,Chinese Orchestra,"The Chinese Orchestra Club aims to promote awareness of Chinese orchestral music. The orchestra participates actively in performances and takes part in no less than five events each year. The club’s conductor, Chuan Joon Hee, is an accomplished Huqin musician in Singapore and is currently a Zhonghu performer in the Singapore Chinese Orchestra. Contact us at: cca_corchestra@connect.np.edu.sg Follow us on Instagram: npco_sg"
2021,School of Business & Accountancy,Diploma in Tourism & Resort Management,N72,"Diploma in Tourism & Resort Management (N72) prepares you for diverse sectors in the tourism industry. With experiential learning on board cruises, practicum and internship, you can pursue SkillsFuture Earn and Learn Programmes upon graduation.",,Concert Band,"The club was started to encourage NP students formerly from secondary school bands to continue pursuing their passion in music. The club holds annual concerts, such as ""Ripieno"" with the Strings Club and ""Rondeau"" within the band, to share musical experiences with family, friends, and the NP community. As part of a holistic CCA experience, the club also offers band exchanges, competitions and annual outdoor performances for members to showcase their talents and skills. Contact us at: cca_concert@connect.np.edu.sg Follow us on Instagram: npcb_"
2021,School of Design & Environment,Diploma in Design,N12,Diploma in Design (N12) has 2 specialisations: Architecture and Product Innovation. Students will acquire a broad based knowledge of design before specialising. The emphasis will be on Studio Based Learning.,,Contemporary Dance,"The Contemporary Dance Club, also popularly known as D3, was founded in 2009, and is NP’s only contemporary Dance Club. D3 represents the three fundamental elements of a great dancer: dancing with passion, dancing with attitude, and dancing with your body, mind and soul. The club has participated in events such as ""United We Boogie (Singapore)"" and Youthphoria @ SDC. Contact us at: cca_contemdance@connect.np.edu.sg Follow us on Instagram: d3contemporarydance"
2021,School of Design & Environment,Diploma in Hotel & Leisure Facilities Management,N40,Diploma in Hotel and Leisure Facilities Management (N40) trains a new breed of hospitality and facility managers to manage modern facilities and bring them to a higher level of management.,,DanceSport,"As part of weekly trainings, the DanceSport club incorporates the 5 Latin dances: Chacha, Rhumba, Jive, Samba and Paso Doble. Whether you choose to dance socially or competitively, you’ll get to immerse yourself in the art of expression through the sensual allure of DanceSport. Contact us at: cca_dancesport@connect.np.edu.sg Follow us on Instagram: npdancesport"
2021,School of Design & Environment,Diploma in Real Estate Business,N48,Diploma in Real Estate Business (N48) is the only one course of its kind in Polytechnics that trains you in both the business and management aspects of real estate.,,Dragon And Lion Dance,"As Lion Dance is traditionally believed to bring about prosperity and wards off evil spirits, companies hire lion dance troupes for various events and opening ceremonies. NP’s club also aims to introduce traditional Chinese culture to the NP community through appearances at ceremonies and events, so members get to experience what the profession entails. Contact us at: cca_lion@connect.np.edu.sg Follow us on Instagram: np_lions"
2021,School of Engineering,Diploma in Aerospace Engineering,N65,"Diploma in Aerospace Engineering (N65) equips students with competencies in maintenance, repair and overhaul (MRO) of aircraft and related infrastructure. Our graduates have the option to specialize in either avionics or mechanical trade.",,English Drama,"Established in the late 80’s, the English Drama Club, also known as the Poly Stage F'Actor, comprises highly dedicated and talented members who are passionate about theatre and the arts in general. The club’s annual event Musik Art! allows students to showcase their talent by performing original songs ranging from Progressive Rock to Punk Metal. Contact us at: cca_edrama@connect.np.edu.sg Follow us on Instagram: polystagefactor"
2021,School of Engineering,Diploma in Automation & Mechatronic Systems,N50,Diploma in Automation & Mechatronic Systems (N50) prepares students for careers in the automation industries. Students will learn to use automation and mechatronic technology to develop solutions for consumer products and industrial applications.,,Hip Hop,"More popularly known as New Revolving Age (NRA), the hip hop club nurtures its dancers in various genres, such as Old School Hip Hop, New School Hip Hop, Jazz Funk, Street Jazz, Popping, Locking and Lyrical Jazz. The club is also known for its bi-annual dance production, Danzation.  Contact us at: cca_hiphop@connect.np.edu.sg"
2021,School of Engineering,Diploma in Biomedical Engineering,N60,"Diploma in Biomedical Engineering (N60) provides a broad-based and practice-oriented training to design, develop and/or service medical devices and equipment, including body implants and rehabilitation products for the healthcare industry.",,Indian Cultural Society?,"NP Indian Cultural Society (ICS) is a performing arts CCA based on Culture and Values and is open to all Indian students to join. NPICS has come far and has spearheaded a new stage production called ‘Arangetraa’ in replacement of and in tribute to ‘Jeeva Gaanam’. We also have a bi-annual Inter-Tertiary Competition ‘Aaraathanaa’ that serves as a platform for Indian Youth to showcase their talents. Not only do we perform arts but we also give back to the community by being involved in charity work and providing a holistic experience for our members. More than just a CCA, ICS is the embodiment of the strong Indian community in Ngee Ann. CCA days are every Friday, from 6pm – 8pm. CCA Instagram Link : @np_ics Contact us at: cca_indian@connect.np.edu.sg"
2021,School of Engineering,Common Engineering Programme,N71,Common Engineering Programme (N71)provides broad-based engineering foundation for students to choose either Mechanical or Electrical/Electronic track at end of 1st sem. Students learn modules of chosen track before deciding one of the 9 courses to major in at end of 2nd semester.,,Japanese Cultural,"The Japanese Cultural Club in Ngee Ann Polytechnic was founded in 1998. It has since expanded to 6 different divisions in 2018 consisting of Cultural, Comink, Cosplay & J-Fashion, Language, Taiko and Tea Ceremony. Our mission is to teach a variety of Japanese culture to students through slide sessions, games, quizzes, direct exposure of that culture and other fun activities like Japanese school exchanges! Contact us at: cca_japanese@connect.np.edu.sg Follow us on Instagram: ngeeann.jcc?"
2021,School of Engineering,Diploma in Electrical Engineering,N43,Diploma in Electrical Engineering (N43) equips students with knowledge and skills to enter the growing and exciting clean energy and electrical industry. The Diploma has 2 specialisations: Clean Energy Management and Power Engineering.,,Korean Cultural,"The Korean Cultural Club (KCC) is the first Korean club in a Singaporean education institution, and has the endorsement and support of the Singapore Korean Embassy. KCC aims to raise awareness about Korean culture and gives NP students the opportunity to learn basic conversational Korean language. The club also comprises a Korean Pop dance group.  Contact us at: cca_korean@connect.np.edu.sg"
2021,School of Engineering,Diploma in Electronic & Computer Engineering,N44,"Diploma in Electronic & Computer Engineering (N44) equips students with knowledge and skills in maintenance and design of electronic & computer systems especially in the core areas of circuit & system design, programming and communications.",,Malay Cultural,"The Malay Cultural Club (MCC) comprises 5 active department: Guys Dikir, Girls Dikir, Warisan Mandling (Dance), Sri Nadi (Drama), and language. Some notable productions of MCC include 'Piala Khatulistiwa' , an annual dikir competition, and 'Dinamis Seni', an annual production that showcases the different departments in MCC Contact us at: cca_malay@connect.np.edu.sg"
2021,School of Engineering,Diploma in Engineering Science,N93,Diploma in Engineering Science (N93) bridges the gap between science and practical engineering.  It prepares graduates for future careers in research & development (R&D) and for further studies.,,Percussion,"Baracuda Batucada is NP’s Percussion club. Since 2004, the samba ensemble has performed in various places, from campus events to larger venues like Orchard Road, Zouk, and even abroad in China. The club is also easily recognised by their hard-thumping rhythms heard around campus. Contact us at: cca_percussion@connect.np.edu.sg"
2021,School of Engineering,Diploma in Marine & Offshore Technology,N42,"Diploma in Marine & Offshore Technology (N42) equips students with the appropriate technical knowledge, management and communication skills to be assistant engineers, technologists or supervisors in the marine and offshore industry.",,Photography,"Members will be taught the basics and technical know-how of photography and videography, including the appreciation of aesthetics. Through covering actual events, members get to explore various types of photography, such as Abstract, Portraits, People, Nature, Studio and Events. They also get to dabble in corporate videos and event videography. Contact us at: cca_photography@connect.np.edu.sg"
2021,School of Engineering,Diploma in Mechanical Engineering,N41,"Diploma in Mechanical Engineering (N41) prepares students for industries like aerospace, marine, automotive, manufacturing and infrastructure. They will learn computer aided design, materials & manufacturing, automation, thermofluids & mechanics.",,Piano,The Piano Club is more commonly known as Klavierensemble. The ensemble aims to raise the standard of piano playing in school and hopes to showcase the beauty and versatility of the piano. Members can join either the 'Debussy' group or the less experienced 'Mozart' group. Contact us at: cca_piano@connect.np.edu.sg
