year,school,course_name,course_code,elr2b2_type,elr2b2,planned_intake,reference
2020,School of Business & Accountancy,Diploma in Accountancy,N51,ELR2B2-B,3 to 10,140,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Business & Accountancy,Diploma in Banking & Finance,N53,ELR2B2-B,4 to 10,75,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Business & Accountancy,Diploma in Business Studies,N45,ELR2B2-B,3 to 9,150,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Business & Accountancy,Common Business Programme,N97,ELR2B2-B,6 to 11,225,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Business & Accountancy,Diploma in International Trade & Business,N85,ELR2B2-B,6 to 11,75,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Business & Accountancy,Diploma in Tourism & Resort Management,N72,ELR2B2-B,4 to 12,75,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Design & Environment,Diploma in Design,N12,ELR2B2-D,8 to 15,75,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Design & Environment,Diploma in Hotel & Leisure Facilities Management,N40,ELR2B2-C,6 to 13,100,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Design & Environment,Diploma in Real Estate Business,N48,ELR2B2-C,10 to 14,75,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Aerospace Engineering,N65,ELR2B2-C,6 to 11,100,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Automation & Mechatronic Systems,N50,ELR2B2-C,8 to 17,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Biomedical Engineering,N60,ELR2B2-C,6 to 10,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Common Engineering Programme,N71,ELR2B2-C,7 to 19,400,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Electrical Engineering,N43,ELR2B2-C,11 to 21,125,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Electronic & Computer Engineering,N44,ELR2B2-C,5 to 15,125,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Engineering Science,N93,ELR2B2-C,4 to 11,40,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Marine & Offshore Technology,N42,ELR2B2-C,11 to 18,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Engineering,Diploma in Mechanical Engineering,N41,ELR2B2-C,8 to 18,125,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Film & Media Studies,"Diploma in Film, Sound & Video",N82,ELR2B2-D,4 to 8,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Film & Media Studies,Diploma in Mass Communication,N67,ELR2B2-A,3 to 8,115,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Film & Media Studies,Diploma in Media Post-Production,N13,ELR2B2-D,8 to 12,60,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Health Sciences,Diploma in Nursing,N69,ELR2B2-C,4 to 28,600,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Health Sciences,Diploma in Optometry,N83,ELR2B2-C,4 to 12,40,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Humanities & Social Sciences,Diploma in Arts Business Management,N91,ELR2B2-B,4 to 8,45,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Humanities & Social Sciences,Diploma in Chinese Media & Communication,N88,ELR2B2-A,5 to 12,45,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Humanities & Social Sciences,Diploma in Chinese Studies,N70,ELR2B2-A,7 to 10,45,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Humanities & Social Sciences,Diploma in Community Development,N11,ELR2B2-A,4 to 9,75,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Humanities & Social Sciences,Diploma in Early Childhood Development & Education,N96,ELR2B2-A,3 to 17,500,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Humanities & Social Sciences,Diploma in Tamil Studies with Early Education,N95,ELR2B2-A,11 to 22,30,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of InfoComm Technology,Common ICT Programme,N98,ELR2B2-C,5 to 11,100,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of InfoComm Technology,Diploma in Cybersecurity & Digital Forensics,N94,ELR2B2-C,4 to 8,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of InfoComm Technology,Diploma in Financial Informatics,N81,ELR2B2-C,4 to 12,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of InfoComm Technology,Diploma in Immersive Media,N55,ELR2B2-C,7 to 13,50,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of InfoComm Technology,Diploma in Information Technology,N54,ELR2B2-C,5 to 12,85,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Biomedical Science,N59,ELR2B2-C,3 to 8,90,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Chemical & Biomolecular Engineering,N56,ELR2B2-C,4 to 11,80,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Environmental & Water Technology,N74,ELR2B2-C,10 to 14,45,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Landscape Design & Horticulture,N57,ELR2B2-D,7 to 15,45,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
2020,School of Life Sciences & Chemical Technology,Diploma in Pharmaceutical Science,N73,ELR2B2-C,3 to 9,45,https://www.np.edu.sg/admissions/Pages/cutoffpoints.aspx
