academic_year,jae_cluster,jae_course_code,course_name,gceo_cut_off_point
2017,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,18
2017,ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,26
2017,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,17
2017,ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,23
2017,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,26
2017,HEALTH SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,14
2017,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),15
2017,INFORMATION & DIGITAL TECHNOLOGIES,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,18
2017,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,18
2017,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,11
2017,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,18
2017,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,16
2017,INFORMATION & DIGITAL TECHNOLOGIES,C80,DIPLOMA IN INFOCOMM AND SECURITY,22
2017,INFORMATION & DIGITAL TECHNOLOGIES,C85,DIPLOMA IN INFORMATION TECHNOLOGY,19
2017,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,14
2017,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,16
2017,MEDIA & DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,20
2017,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,20
2017,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,19
2017,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,21
2017,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,18
2017,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,15
2017,APPLIED SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,18
2017,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,17
2017,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,15
2017,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,12
2017,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,11
2017,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,12
2017,BUILT ENVIRONMENT,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,19
2017,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,13
2017,BUSINESS & MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,14
2017,BUSINESS & MANAGEMENT,C78,DIPLOMA IN BUSINESS INFORMATICS,17
2017,BUSINESS & MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,16
2017,BUSINESS & MANAGEMENT,C58,DIPLOMA IN FINANCIAL INFORMATICS,15
2017,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,17
2017,BUSINESS & MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,17
2017,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,17
2017,BUSINESS & MANAGEMENT,C99,DIPLOMA IN MARKETING,17
2017,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,13
2017,BUSINESS & MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,16
2017,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,14
2017,ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,21
2017,ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,26
2017,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,15
2017,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,16
2017,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,26
2017,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,26
2017,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,26
2017,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,26
2018,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,28
2018,HEALTH SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,13
2018,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,11
2018,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,17
2018,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,17
2018,BUILT ENVIRONMENT,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,20
2018,ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,21
2018,ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,26
2018,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,18
2018,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,26
2018,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,17
2018,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,12
2018,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),14
2018,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,26
2018,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,15
2018,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,17
2018,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,15
2018,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,15
2018,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,10
2018,APPLIED SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,17
2018,BUSINESS & MANAGEMENT,C58,DIPLOMA IN FINANCIAL INFORMATICS,15
2018,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,20
2018,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,14
2018,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,11
2018,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,26
2018,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,19
2018,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,20
2018,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,19
2018,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,16
2018,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,14
2018,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,14
2018,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,15
2018,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,16
2018,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,10
2018,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,26
