JC,Arts,Science / IB,Subjects,DSA talent areas,CCA,Electives and programmes
Anderson Serangoon Junior College (ASRJC),11,11,Chinese Language Syllabus B,Language Elective Programme - Tamil (TLEP) (Girls and Boys),Shooting (Girls and Boys),Language Elective Programme - Tamil
Anderson Serangoon Junior College (ASRJC),11,11,Biology,Chinese Drama (Girls and Boys),Badminton (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Chemistry,Chinese Orchestra (Girls and Boys),Basketball (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Chinese Language,Choir (Girls and Boys),Hockey (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Economics,Concert Band (Girls and Boys),Netball (Girls),
Anderson Serangoon Junior College (ASRJC),11,11,General Studies in Chinese,Contemporary Dance (Girls and Boys),Football (Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Geography,English Drama (Girls and Boys),Table Tennis (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,General Paper,Guitar Ensemble (Girls and Boys),Tennis (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,History,Indian Dance (Girls and Boys),Taekwondo (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Literature in English,Science and Technology (Girls and Boys),Volleyball (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Mathematics,Badminton (Girls and Boys),Touch Rugby (Girls),
Anderson Serangoon Junior College (ASRJC),11,11,Malay Language,Basketball (Girls and Boys),Frisbee (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Physics,Football (Boys),Outdoor Adventure (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Project Work,Hockey (Girls and Boys),Chinese Orchestra (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Tamil Language,Netball (Girls),Choir (Girls and Boys),
Anderson Serangoon Junior College (ASRJC),11,11,Art,Shooting (Girls and Boys),Guitar Ensemble (Girls and Boys),
