year,school,course_name,course_code,course_description,,cca_name,cca_description,Olevel
2021,School of Business & Accountancy,Diploma in Accountancy,N51,Diploma in Accountancy (N51) aims to equip students with essential business knowledge and specialised training in accountancy and financial management to pursue a career in the Accountancy Sector.,,B-Boys,"The B-Boy Dance Club performs under the alias of MightyNoMads. The club aims to spread the culture of hip-hop through B-Boying & B-Girling (Break Dancing), as well as to educate and nurture its members in the following four elements of B-Boying: ‘Top rock’, ‘Down rock’, freezes, and power moves. Weekly trainings are centred around fun and experiential learning, while improving individuals’ technical skills. Contact us at: cca_bboys@connect.np.edu.sg Follow us on Instagram: mightynomads",10
2021,School of Business & Accountancy,Diploma in Banking & Finance,N53,"Diploma in Banking & Finance (N53) aims to equip students with core business knowledge and specialised training in banking and finance. Combined with a 6-month internship, students are well prepared for the challenges of the financial sectors.",,Chinese Calligraphy,"The Chinese Calligraphy Club aims to spread awareness of Chinese calligraphy among NP students. Through calligraphy and Chinese painting classes, students get to interact with various nationalities. They also learn to write elegant Chinese script and paint beautiful landscapes. Outstanding pieces of work may even be showcased and submitted for competitions. Contact us at: cca_calligraphy@connect.np.edu.sg",10
2021,School of Business & Accountancy,Diploma in Business Studies,N45,"Diploma in Business Studies (N45) aims to nurture strong business and management skills with a global and entrepreneurial focus.ÿ It prepares students to become effective communicators, critical thinkers and future-ready professionals.",,Chinese Dance,"The Chinese Dance Club focuses on contemporary Chinese Dance and prides itself on being the only Chinese Dance Club among all the polytechnics in Singapore. The club aims to create awareness of this rich cultural art form by giving back to the community through public performances, both on and off campus. Contact us at: cca_cdance@connect.np.edu.sg Follow us on Instagram: npcdance",9
2021,School of Business & Accountancy,Common Business Programme,N97,Common Business Programme (N97) lays a strong foundation in business fundamentals while letting you explore your interest in various business disciplines before you rank your choice of preferred business diploma courses at the end of Year 1.,,Chinese Drama,"The Chinese Drama Club is also known as the Stage Art Group (SAG), and involves Mandarin and Chinese Stage Art. They aim to expose and nurture acting potential within every member. Members also get involved in major aspects of stage production, from the basics of stage lighting and sound to making props and costumes, and even script writing and make up. The club has performed locally, as well as in Malaysian cities like Johor Bahru, Kuala Lumpur and Penang. Contact us at: cca_cdrama@connect.np.edu.sg Follow us on Instagram: npsag",11
2021,School of Business & Accountancy,Diploma in International Trade & Business,N85,Diploma in International Trade & Business (N85) develops students with specialized knowledge and skills to manage the end-to-end trade process from procurement and trading through to marketing and operations.,,Chinese Orchestra,"The Chinese Orchestra Club aims to promote awareness of Chinese orchestral music. The orchestra participates actively in performances and takes part in no less than five events each year. The club’s conductor, Chuan Joon Hee, is an accomplished Huqin musician in Singapore and is currently a Zhonghu performer in the Singapore Chinese Orchestra. Contact us at: cca_corchestra@connect.np.edu.sg Follow us on Instagram: npco_sg",11
2021,School of Business & Accountancy,Diploma in Tourism & Resort Management,N72,"Diploma in Tourism & Resort Management (N72) prepares you for diverse sectors in the tourism industry. With experiential learning on board cruises, practicum and internship, you can pursue SkillsFuture Earn and Learn Programmes upon graduation.",,Concert Band,"The club was started to encourage NP students formerly from secondary school bands to continue pursuing their passion in music. The club holds annual concerts, such as ""Ripieno"" with the Strings Club and ""Rondeau"" within the band, to share musical experiences with family, friends, and the NP community. As part of a holistic CCA experience, the club also offers band exchanges, competitions and annual outdoor performances for members to showcase their talents and skills. Contact us at: cca_concert@connect.np.edu.sg Follow us on Instagram: npcb_",12
2021,School of Design & Environment,Diploma in Design,N12,Diploma in Design (N12) has 2 specialisations: Architecture and Product Innovation. Students will acquire a broad based knowledge of design before specialising. The emphasis will be on Studio Based Learning.,,Contemporary Dance,"The Contemporary Dance Club, also popularly known as D3, was founded in 2009, and is NP’s only contemporary Dance Club. D3 represents the three fundamental elements of a great dancer: dancing with passion, dancing with attitude, and dancing with your body, mind and soul. The club has participated in events such as ""United We Boogie (Singapore)"" and Youthphoria @ SDC. Contact us at: cca_contemdance@connect.np.edu.sg Follow us on Instagram: d3contemporarydance",15
2021,School of Design & Environment,Diploma in Hotel & Leisure Facilities Management,N40,Diploma in Hotel and Leisure Facilities Management (N40) trains a new breed of hospitality and facility managers to manage modern facilities and bring them to a higher level of management.,,DanceSport,"As part of weekly trainings, the DanceSport club incorporates the 5 Latin dances: Chacha, Rhumba, Jive, Samba and Paso Doble. Whether you choose to dance socially or competitively, you’ll get to immerse yourself in the art of expression through the sensual allure of DanceSport. Contact us at: cca_dancesport@connect.np.edu.sg Follow us on Instagram: npdancesport",13
2021,School of Design & Environment,Diploma in Real Estate Business,N48,Diploma in Real Estate Business (N48) is the only one course of its kind in Polytechnics that trains you in both the business and management aspects of real estate.,,Dragon And Lion Dance,"As Lion Dance is traditionally believed to bring about prosperity and wards off evil spirits, companies hire lion dance troupes for various events and opening ceremonies. NP’s club also aims to introduce traditional Chinese culture to the NP community through appearances at ceremonies and events, so members get to experience what the profession entails. Contact us at: cca_lion@connect.np.edu.sg Follow us on Instagram: np_lions",14
2021,School of Engineering,Diploma in Aerospace Engineering,N65,"Diploma in Aerospace Engineering (N65) equips students with competencies in maintenance, repair and overhaul (MRO) of aircraft and related infrastructure. Our graduates have the option to specialize in either avionics or mechanical trade.",,English Drama,"Established in the late 80’s, the English Drama Club, also known as the Poly Stage F'Actor, comprises highly dedicated and talented members who are passionate about theatre and the arts in general. The club’s annual event Musik Art! allows students to showcase their talent by performing original songs ranging from Progressive Rock to Punk Metal. Contact us at: cca_edrama@connect.np.edu.sg Follow us on Instagram: polystagefactor",11
