year,university,school,degree,employment_rate_overall,alevel,gpa,cca_name,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,course_type,course_desc
2019,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.5,BBC/C,3.74,Chinese Society,94,3220,3000,3254,3000,3000,3200,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,97.9,#,#,German Society,95.2,4284,4000,4359,4000,3200,4600,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Business (Nanyang Business School),Business,93.8,BCC/B,3.61,Heritage Club,83.1,3707,3500,3797,3600,3200,4000,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing ^,94.4,AAB/C,3.8,Japanese Appreciation Club,83.3,4479,4833,4562,4833,3600,5000,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Aerospace Engineering,87.5,AAB/C,3.8,Korean Cultural Society,80.7,3816,3700,3939,3800,3500,4600,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,na,#,#,Malay Language and Cultural Society,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Bioengineering,81.3,BCC/B ,3.63,Nanyang Arts Ensemble,64.1,3445,3400,3548,3500,3200,3700,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,na,#,#,Outdoor Adventure Club,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,88.6,BBC/B,3.61,Sports Shooting Club,78.1,3681,3600,3921,3800,3500,4300,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering and Economics **,na,#,#,Tamil Literary Society,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Civil Engineering,94.9,CDD/C,3.5,University Mountaineering Club,90.6,3525,3400,3582,3500,3300,3900,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Civil Engineering and Economics **,na,#,#,Earthlink,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Computer Engineering,94.6,AAC/B,3.77,NTU Social Impact Catalyst,94.6,3994,4000,4074,4000,3600,4500,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Computer Science,97.4,AAB/B,3.92,Red Cross Youth - NTU Chapter,95.9,4270,4050,4309,4200,3800,4900,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,92.6,CDD/C,3.4,Rotaract Club of NTU,87.1,3769,3700,3884,3700,3500,4000,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Environmental Engineering,83.9,CCC/C,3.46,NTU United Nations Students' Association,77.4,3574,3500,3596,3510,3400,3800,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics **,na,#,#,University-Y@NTU,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Information Engineering and Media,90.7,BCC/D,3.55,Buddhist Society,85.3,3934,3970,4006,4000,3600,4350,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Maritime Studies,98.3,CCD/C,3.5,Nanyang Technological University Cru,93.2,3512,3400,3669,3500,3300,3700,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Materials Engineering,82,CCD/C,3.36,Catholic Students' Apostolate,76,3601,3500,3817,3600,3300,4175,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Materials Engineering and Economics **,na,# ,#,Christian Fellowship,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Mechanical Engineering,84.5,CCC/D ,3.44,Legion of Mary,82.1,3608,3500,3728,3600,3380,4005,Full-Time,This is a university course description
2019,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,na,#,#,Muslim Society,na,na,na,na,na,na,na,Full-Time,This is a university course description
2019,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",83.6,CCC/C,3.33,Sikh Cultural and Literary Society,50.9,3031,3000,3068,3000,2800,3500,Full-Time,This is a university course description
